Metric,Value
n,60
avg_trips_per_month,8.76
avg_trips_per_week,2.19
joyride_duopoly_share_pct,50.0
moveit_duopoly_share_pct,50.0
estimated_daily_demand,1051
wtp_mean,70.92
wtp_median,65.0
wtp_sd,20.47
wtp_le_80_n,33
wtp_gt_80_n,27
leave_on_20pct_pct,73.3
stay_on_20pct_pct,26.7
switch_likelihood_mean,3.6
switch_likelihood_sd,1.04
switch_likely_pct,51.7
promo_influence_mean,3.62
promo_influence_sd,1.14
promo_high_pct,58.3
scenario1_switch_n,41
scenario1_switch_pct,68.3
scenario1_stay_n,5
scenario1_stay_pct,8.3
scenario2_switch_n,34
scenario2_switch_pct,56.7
scenario2_stay_n,10
scenario2_stay_pct,16.7
afford_joyride_mean,3.38
afford_joyride_sd,0.96
safety_joyride_mean,4.08
safety_joyride_sd,0.7
afford_moveit_mean,3.77
afford_moveit_sd,0.74
safety_moveit_mean,3.73
safety_moveit_sd,0.73
afford_angkas_mean,3.03
afford_angkas_sd,0.78
safety_angkas_mean,3.4
safety_angkas_sd,0.85
price_vs_quality_mean,3.43
price_vs_quality_sd,1.2
